  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally, Sta
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled,
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm],
1958,1,21200,1958.0411,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99, MLO
1958,2,21231,1958.126,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99, MLO
1958,3,21259,1958.2027,315.71,314.43,316.2,314.91,315.71,314.43, MLO
1958,4,21290,1958.2877,317.45,315.15,317.31,314.99,317.45,315.15, MLO
1958,5,21320,1958.3699,317.51,314.69,317.89,315.07,317.51,314.69, MLO
1958,6,21351,1958.4548,-99.99,-99.99,317.27,315.15,317.27,315.15, MLO
1958,7,21381,1958.537,315.87,315.2,315.86,315.22,315.87,315.2, MLO
1958,8,21412,1958.6219,314.93,316.22,313.96,315.29,314.93,316.22, MLO
1958,9,21443,1958.7068,313.21,316.12,312.43,315.35,313.21,316.12, MLO
1958,10,21473,1958.789,-99.99,-99.99,312.42,315.41,312.42,315.41, MLO
1958,11,21504,1958.874,313.33,315.21,313.6,315.46,313.33,315.21, MLO
1958,12,21534,1958.9562,314.67,315.44,314.77,315.52,314.67,315.44, MLO
1959,1,21565,1959.0411,315.58,315.52,315.64,315.58,315.58,315.52, MLO
1959,2,21596,1959.126,316.49,315.84,316.3,315.64,316.49,315.84, MLO
1959,3,21624,1959.2027,316.65,315.37,317,315.7,316.65,315.37, MLO
1959,4,21655,1959.2877,317.72,315.41,318.1,315.77,317.72,315.41, MLO
1959,5,21685,1959.3699,318.29,315.46,318.68,315.85,318.29,315.46, MLO
1959,6,21716,1959.4548,318.15,316,318.08,315.94,318.15,316, MLO
1959,7,21746,1959.537,316.54,315.87,316.67,316.03,316.54,315.87, MLO
1959,8,21777,1959.6219,314.79,316.1,314.8,316.13,314.79,316.1, MLO
1959,9,21808,1959.7068,313.84,316.76,313.29,316.22,313.84,316.76, MLO
1959,10,21838,1959.789,313.33,316.35,313.31,316.31,313.33,316.35, MLO
1959,11,21869,1959.874,314.81,316.69,314.53,316.4,314.81,316.69, MLO
1959,12,21899,1959.9562,315.58,316.35,315.72,316.48,315.58,316.35, MLO
1960,1,21930,1960.041,316.43,316.37,316.63,316.56,316.43,316.37, MLO
1960,2,21961,1960.1257,316.98,316.33,317.3,316.64,316.98,316.33, MLO
1960,3,21990,1960.2049,317.58,316.27,318.04,316.72,317.58,316.27, MLO
1960,4,22021,1960.2896,319.03,316.69,319.15,316.79,319.03,316.69, MLO
1960,5,22051,1960.3716,320.03,317.19,319.7,316.86,320.03,317.19, MLO
1960,6,22082,1960.4563,319.59,317.45,319.05,316.93,319.59,317.45, MLO
1960,7,22112,1960.5383,318.18,317.53,317.59,316.98,318.18,317.53, MLO
1960,8,22143,1960.623,315.9,317.23,315.66,317.02,315.9,317.23, MLO
1960,9,22174,1960.7077,314.17,317.11,314.1,317.05,314.17,317.11, MLO
1960,10,22204,1960.7896,313.83,316.85,314.08,317.08,313.83,316.85, MLO
1960,11,22235,1960.8743,315,316.89,315.25,317.12,315,316.89, MLO
1960,12,22265,1960.9563,316.19,316.96,316.4,317.16,316.19,316.96, MLO
1961,1,22296,1961.0411,316.89,316.84,317.28,317.21,316.89,316.84, MLO
1961,2,22327,1961.126,317.7,317.05,317.94,317.27,317.7,317.05, MLO
1961,3,22355,1961.2027,318.54,317.25,318.64,317.34,318.54,317.25, MLO
